Nom,,
ADEME,"Logement, Développement Durable et Énergiee",
ADT et OTs des Alpes-de-Haute-Provence,Territoires et Transports,
Agence Bio,"Logement, Développement Durable et Énergiee",Agriculture et Alimentation
Agence de l'eau Adour-Garonne,"Logement, Développement Durable et Énergiee",
Agence de l'eau Rhône-Méditerranée et Corse,"Logement, Développement Durable et Énergiee",
Agence de services et de paiement,Agriculture et Alimentation,International et Europe
Agence des espaces verts - IDF,"Logement, Développement Durable et Énergiee",
"Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail","Logement, Développement Durable et Énergiee",Agriculture et Alimentation
Agence nationale pour la cohésion sociale et l'égalité des chances,Santé et Social,
Agence nationale pour la rénovation urbaine,Société,
Agence pour l'enseignement français à l'étranger,Éducation et Recherche,International et Europe
Agence Régionale du Livre,Culture,Territoires
Agence Technique de l'information sur l'Hospitalisation,Santé et Social,
AIR LR,,
Air Pays de la Loire,Territoires et Transports,
Airaq,,
AirPACA,Territoires et Transports,
Aquitaine Europe Communication,Territoires et Transports,
Arcade,Territoires et Transports,
Arles Crau Camargue Montagnette,Territoires et Transports,
Arts vivants en Ille-et-Vilaine,Territoires et Transports,
ASF,Territoires et Transports,
Association Trans Musicales,Territoires et Transports,
ATOUT FRANCE - Agence de développement touristique de la France,Territoires et Transports,
Autolib,Territoires et Transports,
Autorité de contrôle prudentiel,Économie et Emploi,
Autorité de régulation des communications électroniques et des postes,Culture,
Banque de France,Économie et Emploi,
Banque Mondiale,International et Europe,
Bassin Adour garonne,Territoires et Transports,
Bibliothèque nationale de France,Culture,
Caisse nationale de l'assurance maladie des travailleurs salariés,Santé et Social,
Caisse nationale de solidarité pour l'autonomie,Santé et Social,
Cap Digital,Économie et Emploi,
Cap sciences,Éducation et Recherche,
CCI Territoire de Montpellier,Territoires et Transports,
Centre des monuments nationaux,Culture,
Centre national d'art et de culture Georges Pompidou,Culture,
Centre national du cinéma et de l'image animée,Culture,
Chambre de Commerce et d'Industrie Marseille Provence,Territoires et Transports,Économie et Emploi
Cité de la musique,Culture,
Comité Départemental du Tourisme,Territoires et Transports,
Comité Régional de Tourisme,Territoires et Transports,
Commission Nationale Consultative des Droits de l'Homme,Société,
Communauté du Pays d'Aix,Territoires et Transports,
Communauté urbaine de Bordeaux,Territoires et Transports,
Commune de Brocas (Landes),Territoires et Transports,
Commune de Saint-André-de-Cubzac,Territoires et Transports,
Conseil général de l'Oise,Territoires et Transports,
Conseil général de la Gironde,Territoires et Transports,
Conseil général de la Manche,Territoires et Transports,
Conseil général de Loir-et-Cher,Territoires et Transports,
Conseil général de Saône-et-Loire,Territoires et Transports,
Conseil général de Saône-et-Loire (CG71),Territoires et Transports,
Conseil général des Hauts-de-Seine,Territoires et Transports,
Conseil Général du Cantal,Territoires et Transports,
Conseil régional d'Aquitaine,Territoires et Transports,
Conseil Régional Nord-Pas de Calais,Territoires et Transports,
Conseil Supérieur de l'Audiovisuel,Culture,
Contribuables associés,Économie et Emploi,
Coopération pour l’Information Géographique en Alsace (CIGAL),Territoires et Transports,
Coulommiers,Territoires et Transports,
CRIGE-PACA,Territoires et Transports,
Data Publica,,
Département de Loire-Atlantique,Territoires et Transports,
Destinéo,,
"DRIEA, Sit@del 2",Territoires et Transports,
Easter-eggs,Territoires et Transports,
École nationale supérieure d'art Villa Arson de Nice,Culture,
École nationale supérieure des métiers de l'image et du son (La Fémis),Culture,
Établissement public de la Réunion des musées nationaux et du Grand Palais des Champs-Élysées,Culture,
"Établissement public du château, du musée et du domaine national de Versailles",Culture,
Établissement public du musée d'Orsay et du musée de l'Orangerie,Culture,
Eurostat,International et Europe,
Fabrique Spinoza,Société,
Fédération Asso1901,Économie et Emploi,Territoires
Fédération des laboureurs en herbe,,
Fédération Nationale des Bistrots de Pays,,
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer,Agriculture et Alimentation,
FROTSI,,
GIP Corse Compétences,Territoires et Transports,
Gironde numérique,Territoires et Transports,
Grand Lyon,Territoires et Transports,
Haute Autorité de santé,Santé et Social,
Haute Autorité pour la diffusion des œuvres et la protection des droits sur internet,Culture,
IAU-ÎdF,,
IJBA,,
Institut français du cheval et de l'équitation,Agriculture et Alimentation,
Institut National de l'Information Géographique et Forestière,Agriculture et Alimentation,
Institut national de l'origine et de la qualité,Agriculture et Alimentation,
Institut National de la Statistique et des Etudes Economiques (INSEE),Économie et Emploi,Société
Institut national de recherches archéologiques préventives,Éducation et Recherche,
Institut national des hautes études de la sécurité et de la justice,Société,
JCDecaux developer,Territoires et Transports,
Kel Quartier,"Logement, Développement Durable et Énergiee",
Keolis,Territoires et Transports,
La Poste,,
