Organisation;Service;Jeu de données initial;Resource initiale;Jeu de données fusionné;Resource après fusion
Agence Technique de l'information sur l'Hospitalisation;;Les catégories majeures de diagnostic par établissement de santé - 2009;;Les catégories majeures de diagnostic par établissement de santé;Les catégories majeures de diagnostic par établissement de santé - 2009
Agence Technique de l'information sur l'Hospitalisation;;Les catégories majeures de diagnostic par établissement de santé - 2010;;Les catégories majeures de diagnostic par établissement de santé;Les catégories majeures de diagnostic par établissement de santé - 2010
Agence Technique de l'information sur l'Hospitalisation;;Les catégories majeures de diagnostic par établissement de santé - 2011;;Les catégories majeures de diagnostic par établissement de santé;Les catégories majeures de diagnostic par établissement de santé - 2011
Agence de services et de paiement;;Publication des montants des aides perçus par les personnes morales, au titre de la Politique Agricole Commune, pour l'exercice 2010.;;Publication des montants des aides perçus par les personnes morales, au titre de la Politique Agricole Commune;Publication des montants des aides perçus par les personnes morales, au titre de la Politique Agricole Commune, pour l'exercice 2010.
Agence de services et de paiement;;Publication des montants des aides perçus par les personnes morales, au titre de la Politique Agricole Commune, pour l'exercice 2011.;;Publication des montants des aides perçus par les personnes morales, au titre de la Politique Agricole Commune;Publication des montants des aides perçus par les personnes morales, au titre de la Politique Agricole Commune, pour l'exercice 2011.
Agence de services et de paiement;;Publication des montants des aides perçus par les personnes morales, au titre de la Politique Agricole Commune, pour l'exercice 2012.;;Publication des montants des aides perçus par les personnes morales, au titre de la Politique Agricole Commune;Publication des montants des aides perçus par les personnes morales, au titre de la Politique Agricole Commune, pour l'exercice 2012.
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Ain;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Ain
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Aisne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Aisne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Allier;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Allier
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Alpes-Maritimes;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Alpes-Maritimes
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Alpes-de-Haute-Provence;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Alpes-de-Haute-Provence
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Ardennes;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Ardennes
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Ardèche;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Ardèche
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Ariège;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Ariège
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Aube;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Aube
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Aude;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Aude
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Aveyron;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Aveyron
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Bas-Rhin;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Bas-Rhin
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Bouches-du-Rhône;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Bouches-du-Rhône
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Calvados;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Calvados
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Cantal;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Cantal
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Charente;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Charente
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Charente-Maritime;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Charente-Maritime
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Cher;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Cher
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Corrèze;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Corrèze
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Corse-du-Sud;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Corse-du-Sud
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Creuse;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Creuse
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Côte-d'Or;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Côte-d'Or
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Côtes-d'Armor;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Côtes-d'Armor
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Deux-Sèvres;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Deux-Sèvres
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Dordogne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Dordogne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Doubs;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Doubs
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Drôme;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Drôme
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Essonne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Essonne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Eure;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Eure
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Eure-et-Loir;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Eure-et-Loir
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Finistère;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Finistère
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Gard;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Gard
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Gers;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Gers
